test,config,task_id,timestamp,pattern,model,n_agents,n_rounds_to_consensus,converged,final_answer,total_tokens_generated,tokens_per_agent_round,total_latency_s,gpu_energy_j,total_energy_j,prompt_text,concurrency
headline,select,48812dc7,2026-03-15T01:38:21.757945,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,8.8263,2095.925,2095.925,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,select,d04167ca,2026-03-15T01:38:30.902436,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.8756,236.59,236.59,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,select,ea969daa,2026-03-15T01:38:31.785976,select,Qwen/Qwen3.5-27B,3,1,True,cancellation,9,3.0,0.3663,156.967,156.967,I want to cancel my account effective immediately and get a prorated refund.,1
headline,select,366de8aa,2026-03-15T01:38:32.160568,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.2507,66.043,66.043,What are your business hours and do you have a location near downtown?,1
headline,select,b1708019,2026-03-15T01:38:32.416110,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.3283,141.719,141.719,The app crashes every time I try to upload a file larger than 10MB.,1
headline,select,00869330,2026-03-15T01:38:32.755079,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.3346,91.043,91.043,Can you explain the difference between your premium and basic plans?,1
headline,select,8699a309,2026-03-15T01:38:33.096024,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.3258,97.317,97.317,I need to update the credit card on file for automatic payments.,1
headline,select,8a750db6,2026-03-15T01:38:33.426747,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1558,86.639,86.639,My smart home device won't connect to the WiFi after the firmware update.,1
headline,select,7705686a,2026-03-15T01:38:33.602269,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.3247,94.296,94.296,I'm moving next month and need to transfer my service to a new address.,1
headline,select,95785fcf,2026-03-15T01:38:33.942490,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1549,37.601,37.601,Your website says my payment failed but my bank shows it went through.,1
headline,select,70ceb760,2026-03-15T01:38:34.103237,select,Qwen/Qwen3.5-27B,3,1,True,cancellation,9,3.0,0.3447,149.955,149.955,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
headline,select,0fe96fd6,2026-03-15T01:38:34.465062,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1558,36.921,36.921,The remote control for my cable box isn't responding to any button presses.,1
headline,select,02fb11ae,2026-03-15T01:38:34.626214,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.1559,86.003,86.003,I'd like to add a second line to my family plan. What are the options?,1
headline,select,08f73f9d,2026-03-15T01:38:34.787142,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1554,89.478,89.478,My bill this month is $40 higher than usual and I don't see any explanation.,1
headline,select,1065e4bc,2026-03-15T01:38:34.967042,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1654,35.052,35.052,I can't log into my account even after resetting my password three times.,1
headline,select,92ff609a,2026-03-15T01:38:35.142227,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1556,38.905,38.905,Do you offer any senior citizen discounts on your monthly plans?,1
headline,select,799a6637,2026-03-15T01:38:35.303219,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1523,89.352,89.352,The picture quality on my streaming is terrible even though I have gigabit internet.,1
headline,select,cea22c95,2026-03-15T01:38:35.462473,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1576,40.704,40.704,I want to downgrade my plan but keep my current phone number.,1
headline,select,c5bdae80,2026-03-15T01:38:35.629121,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1577,83.191,83.191,Someone made unauthorized purchases on my account and I need it frozen.,1
headline,select,e54044f4,2026-03-15T01:38:35.803305,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1615,88.02,88.02,How do I set up parental controls on the new set-top box?,1
headline,json,cd2d599b,2026-03-15T01:38:45.975815,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.526,210.479,210.479,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,json,5cd1c75e,2026-03-15T01:38:46.509953,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.5169,226.074,226.074,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,json,7ff28b74,2026-03-15T01:38:47.043384,json,Qwen/Qwen3.5-27B,3,1,True,cancellation,51,17.0,0.5308,228.311,228.311,I want to cancel my account effective immediately and get a prorated refund.,1
headline,json,57c79546,2026-03-15T01:38:47.582154,json,Qwen/Qwen3.5-27B,3,1,True,general,48,16.0,0.5189,230.187,230.187,What are your business hours and do you have a location near downtown?,1
headline,json,3d9003dd,2026-03-15T01:38:48.110690,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.5174,295.628,295.628,The app crashes every time I try to upload a file larger than 10MB.,1
headline,json,8a9447a0,2026-03-15T01:38:48.645127,json,Qwen/Qwen3.5-27B,3,1,True,general,48,16.0,0.5217,231.954,231.954,Can you explain the difference between your premium and basic plans?,1
headline,json,febe136f,2026-03-15T01:38:49.181851,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.511,227.264,227.264,I need to update the credit card on file for automatic payments.,1
headline,json,9a40c15b,2026-03-15T01:38:49.697814,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3403,244.547,244.547,My smart home device won't connect to the WiFi after the firmware update.,1
headline,json,017b6e61,2026-03-15T01:38:50.045293,json,Qwen/Qwen3.5-27B,3,1,True,general,46,15.3,0.3461,172.829,172.829,I'm moving next month and need to transfer my service to a new address.,1
headline,json,0a1a418e,2026-03-15T01:38:50.396342,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.3415,172.275,172.275,Your website says my payment failed but my bank shows it went through.,1
headline,json,7d40c18c,2026-03-15T01:38:50.743057,json,Qwen/Qwen3.5-27B,3,1,True,cancellation,51,17.0,0.534,233.547,233.547,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
