decision_id,hop_id,experiment,pattern,round,agent,input_tokens,output_tokens,context_length,latency_s,energy_j,energy_mode,j_per_output_token,avg_watts,parsed_vote
97520762,2a7b5df4,patterns,select,0,agent_0,82,2,84,7.7093,476.5344,attributed,238.2672,61.8,billing
97520762,786eb2de,patterns,select,0,agent_1,82,2,84,7.7081,476.4603,attributed,238.23015,61.8,billing
97520762,1a794101,patterns,select,0,agent_2,82,2,84,7.7081,476.4603,attributed,238.23015,61.8,billing
97520762,021cf92e,patterns,select,0,agent_3,82,2,84,7.7077,476.4355,attributed,238.21775,61.8,billing
97520762,1437ba3e,patterns,select,0,agent_4,82,2,84,7.7077,476.4355,attributed,238.21775,61.8,billing
90a6a2cf,479ebd21,patterns,select,0,agent_0,83,2,84,7.7072,476.5159,attributed,238.25795,61.8,technical
90a6a2cf,aae22e76,patterns,select,0,agent_1,83,2,84,7.7067,476.485,attributed,238.2425,61.8,technical
90a6a2cf,d825f30d,patterns,select,0,agent_2,83,2,84,7.7066,476.4788,attributed,238.2394,61.8,technical
90a6a2cf,e9d02eb9,patterns,select,0,agent_3,83,2,84,7.7054,476.4046,attributed,238.2023,61.8,technical
90a6a2cf,908d07cf,patterns,select,0,agent_4,83,2,84,7.706,476.4417,attributed,238.22085,61.8,technical
c5aac1a4,0ae803f8,patterns,select,0,agent_0,81,3,83,8.2884,501.5231,attributed,167.174367,60.5,cancellation
c5aac1a4,6f43ab8f,patterns,select,0,agent_1,81,3,83,8.2882,501.511,attributed,167.170333,60.5,cancellation
c5aac1a4,e5acc38e,patterns,select,0,agent_2,81,3,83,8.2872,501.4505,attributed,167.150167,60.5,cancellation
c5aac1a4,43cca173,patterns,select,0,agent_3,81,3,83,8.2868,501.4263,attributed,167.1421,60.5,cancellation
c5aac1a4,3e7b209f,patterns,select,0,agent_4,81,3,83,8.2867,501.4202,attributed,167.140067,60.5,cancellation
ea57c5f4,e3db70e7,patterns,select,0,agent_0,80,2,81,7.7037,476.5518,attributed,238.2759,61.9,general
ea57c5f4,1828b5f4,patterns,select,0,agent_1,80,2,81,7.7031,476.5147,attributed,238.25735,61.9,general
ea57c5f4,323df353,patterns,select,0,agent_2,80,2,81,7.7026,476.4838,attributed,238.2419,61.9,general
ea57c5f4,03375c8c,patterns,select,0,agent_3,80,2,81,7.7012,476.3972,attributed,238.1986,61.9,general
ea57c5f4,e93251a9,patterns,select,0,agent_4,80,2,81,7.7009,476.3786,attributed,238.1893,61.9,general
1594e037,5c561fc9,patterns,select,0,agent_0,84,2,80,7.7005,476.5556,attributed,238.2778,61.9,technical
1594e037,d8e8713e,patterns,select,0,agent_1,84,2,80,7.6997,476.506,attributed,238.253,61.9,technical
1594e037,f25acefe,patterns,select,0,agent_2,84,2,80,7.6983,476.4194,attributed,238.2097,61.9,technical
1594e037,b23b9ec4,patterns,select,0,agent_3,84,2,80,7.6985,476.4318,attributed,238.2159,61.9,technical
1594e037,b333c6ed,patterns,select,0,agent_4,84,2,80,7.6982,476.4132,attributed,238.2066,61.9,technical
9cd57ed6,72c6eeb5,patterns,select,0,agent_0,78,2,81,7.6979,476.5308,attributed,238.2654,61.9,general
9cd57ed6,36bf80dc,patterns,select,0,agent_1,78,2,81,7.6971,476.4813,attributed,238.24065,61.9,general
9cd57ed6,c77a463c,patterns,select,0,agent_2,78,2,81,7.6967,476.4565,attributed,238.22825,61.9,general
9cd57ed6,e0048cba,patterns,select,0,agent_3,78,2,81,7.6965,476.4442,attributed,238.2221,61.9,general
9cd57ed6,32755000,patterns,select,0,agent_4,78,2,81,7.696,476.4132,attributed,238.2066,61.9,general
7dd1618d,8131ce93,patterns,select,0,agent_0,79,2,80,7.695,468.8838,attributed,234.4419,60.9,billing
7dd1618d,9631879f,patterns,select,0,agent_1,79,2,80,7.6945,468.8533,attributed,234.42665,60.9,billing
7dd1618d,ef76be61,patterns,select,0,agent_2,79,2,80,7.6948,468.8716,attributed,234.4358,60.9,billing
7dd1618d,0f41c633,patterns,select,0,agent_3,79,2,80,7.6939,468.8168,attributed,234.4084,60.9,billing
7dd1618d,94ec13ad,patterns,select,0,agent_4,79,2,80,7.6936,468.7985,attributed,234.39925,60.9,billing
1c75ba56,47fbe308,patterns,select,0,agent_0,81,2,82,7.6939,476.5395,attributed,238.26975,61.9,technical
1c75ba56,f4959f9d,patterns,select,0,agent_1,81,2,82,7.693,476.4838,attributed,238.2419,61.9,technical
1c75ba56,30ace1ca,patterns,select,0,agent_2,81,2,82,7.6923,476.4404,attributed,238.2202,61.9,technical
1c75ba56,059ab2a5,patterns,select,0,agent_3,81,2,82,7.6921,476.428,attributed,238.214,61.9,technical
1c75ba56,483e7e7a,patterns,select,0,agent_4,81,2,82,7.6922,476.4342,attributed,238.2171,61.9,technical
f994759f,111d7fbe,patterns,select,0,agent_0,82,2,81,7.6921,471.4535,attributed,235.72675,61.3,general
f994759f,04305fe4,patterns,select,0,agent_1,82,2,81,7.6918,471.4351,attributed,235.71755,61.3,general
f994759f,aa64c7f2,patterns,select,0,agent_2,82,2,81,7.6909,471.38,attributed,235.69,61.3,general
f994759f,6d358574,patterns,select,0,agent_3,82,2,81,7.6905,471.3555,attributed,235.67775,61.3,general
f994759f,4d95be63,patterns,select,0,agent_4,82,2,81,7.6908,471.3739,attributed,235.68695,61.3,general
7b7c778c,7545ed29,patterns,select,0,agent_0,80,2,81,7.6905,471.4474,attributed,235.7237,61.3,billing
7b7c778c,744bbc33,patterns,select,0,agent_1,80,2,81,7.6901,471.4229,attributed,235.71145,61.3,billing
7b7c778c,43040440,patterns,select,0,agent_2,80,2,81,7.6899,471.4106,attributed,235.7053,61.3,billing
7b7c778c,b1d80ec2,patterns,select,0,agent_3,80,2,81,7.689,471.3555,attributed,235.67775,61.3,billing
7b7c778c,46783891,patterns,select,0,agent_4,80,2,81,7.6891,471.3616,attributed,235.6808,61.3,billing
795b2aa7,5e689177,patterns,select,0,agent_0,85,3,84,8.2717,496.433,attributed,165.477667,60.0,cancellation
795b2aa7,398403ef,patterns,select,0,agent_1,85,3,84,8.2714,496.415,attributed,165.471667,60.0,cancellation
795b2aa7,133b8f88,patterns,select,0,agent_2,85,3,84,8.2712,496.403,attributed,165.467667,60.0,cancellation
795b2aa7,4b5739c4,patterns,select,0,agent_3,85,3,84,8.2709,496.385,attributed,165.461667,60.0,cancellation
795b2aa7,958c81e6,patterns,select,0,agent_4,85,3,84,8.2706,496.367,attributed,165.455667,60.0,cancellation
3c289ce5,0d872c69,patterns,select,0,agent_0,81,2,82,7.6873,471.4622,attributed,235.7311,61.3,technical
3c289ce5,7e2e43f9,patterns,select,0,agent_1,81,2,82,7.6869,471.4376,attributed,235.7188,61.3,technical
3c289ce5,529feda5,patterns,select,0,agent_2,81,2,82,7.6858,471.3702,attributed,235.6851,61.3,technical
3c289ce5,fe9b9593,patterns,select,0,agent_3,81,2,82,7.6855,471.3518,attributed,235.6759,61.3,technical
3c289ce5,1c21137b,patterns,select,0,agent_4,81,2,82,7.6859,471.3763,attributed,235.68815,61.3,technical
d0603e57,adccb44d,patterns,select,0,agent_0,84,2,81,7.6853,471.4327,attributed,235.71635,61.3,general
d0603e57,3f2d50b1,patterns,select,0,agent_1,84,2,81,7.6853,471.4327,attributed,235.71635,61.3,general
d0603e57,d7c9b72c,patterns,select,0,agent_2,84,2,81,7.6849,471.4082,attributed,235.7041,61.3,general
d0603e57,4acfa70e,patterns,select,0,agent_3,84,2,81,7.6841,471.3591,attributed,235.67955,61.3,general
d0603e57,8c8f4eb8,patterns,select,0,agent_4,84,2,81,7.6842,471.3652,attributed,235.6826,61.3,general
355f3154,6d00794d,patterns,select,0,agent_0,85,2,83,7.6841,471.4524,attributed,235.7262,61.4,billing
