decision_id,hop_id,experiment,pattern,round,agent,input_tokens,output_tokens,context_length,latency_s,energy_j,energy_mode,j_per_output_token,avg_watts,parsed_vote
d7855d2c,292d5479,patterns,select,0,agent_0,82,2,84,0.5891,195.5121,attributed,97.75605,331.9,billing
d7855d2c,2aa7ecb1,patterns,select,0,agent_1,82,2,84,0.589,195.4789,attributed,97.73945,331.9,billing
67833894,5a0a36f5,patterns,select,0,agent_0,83,2,84,0.5889,174.8535,attributed,87.42675,296.9,technical
67833894,b5ac2d84,patterns,select,0,agent_1,83,2,84,0.5889,174.8535,attributed,87.42675,296.9,technical
21860f45,d151df5e,patterns,select,0,agent_0,81,3,83,0.7912,208.4315,attributed,69.477167,263.4,cancellation
21860f45,56b956d7,patterns,select,0,agent_1,81,3,83,0.7912,208.4315,attributed,69.477167,263.4,cancellation
6533709f,abdd89da,patterns,select,0,agent_0,80,2,81,0.5889,195.4789,attributed,97.73945,331.9,general
6533709f,14c415b1,patterns,select,0,agent_1,80,2,81,0.589,195.5121,attributed,97.75605,331.9,general
2dc076cd,0cd0afcd,patterns,select,0,agent_0,84,2,80,0.5888,174.8683,attributed,87.43415,297.0,technical
2dc076cd,fc122819,patterns,select,0,agent_1,84,2,80,0.5887,174.8387,attributed,87.41935,297.0,technical
e275dd61,4697d1e5,patterns,select,0,agent_0,78,2,81,0.5889,195.5121,attributed,97.75605,332.0,general
e275dd61,53a39b6b,patterns,select,0,agent_1,78,2,81,0.5888,195.4789,attributed,97.73945,332.0,general
e6677e3a,4a30b678,patterns,select,0,agent_0,79,2,80,0.5888,195.5287,attributed,97.76435,332.1,billing
e6677e3a,0d8ed504,patterns,select,0,agent_1,79,2,80,0.5886,195.4623,attributed,97.73115,332.1,billing
c61861b4,0607632d,patterns,select,0,agent_0,81,2,82,0.7909,238.9628,attributed,119.4814,302.1,technical
c61861b4,fbe87971,patterns,select,0,agent_1,81,2,82,0.5888,177.9002,attributed,88.9501,302.1,technical
1353d7e2,c62181d3,patterns,select,0,agent_0,82,2,81,0.5887,174.8684,attributed,87.4342,297.0,general
1353d7e2,e361471a,patterns,select,0,agent_1,82,2,81,0.5886,174.8386,attributed,87.4193,297.0,general
7704a925,5ba94fac,patterns,select,0,agent_0,80,2,81,0.5886,195.4789,attributed,97.73945,332.1,billing
7704a925,01795790,patterns,select,0,agent_1,80,2,81,0.5887,195.5121,attributed,97.75605,332.1,billing
766020b8,115f26f2,patterns,select,0,agent_0,85,3,84,0.7908,208.4183,attributed,69.472767,263.6,cancellation
766020b8,e1cdff41,patterns,select,0,agent_1,85,3,84,0.7909,208.4447,attributed,69.481567,263.6,cancellation
d7f5400b,b131f5ce,patterns,select,0,agent_0,81,2,82,0.5885,195.4789,attributed,97.73945,332.2,technical
d7f5400b,a44ad3e9,patterns,select,0,agent_1,81,2,82,0.5886,195.5121,attributed,97.75605,332.2,technical
